;Бренд;Артикул;Название;Символьный код;Изображение;Макс. мощность, кВА;Номин. мощность, кВА;Количество фаз;Тип;Объем бака, л;Электростартер;Двигатель;Альтернатор;Вес, кг;Габариты, см (ДхШхВ);Гарантия;"Дополнительная
информация";РРЦ;Описание
6390;Zongshen;1T90DF800; Zongshen KB 9000 E генератор бензиновый;zongshen-kb-9000-e-generator-benzinovyj;kb_9000_e_1.JPG;8,5;8;одна;бензиновый;32;есть;"Zongshen
FH 440 E
(440 cc)";Zongshen;99;70 х 53 х 59;2 года;счетчик моточасов + розетка (16A) + силовая розетка (32А) + AVR + электростартер + колеса для транспорт-ки в комплекте;59990;"Электрогенератор ZONGSHEN KB 9000 E – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 8,5 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN FH440E. Генератор оснащен электрическим запуском. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 11 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 76,5 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов, электростартером и 2-мя розетками (одна из которых - силовая, т.е. на 32А), имеет размер (700х530х590 мм) и вес (99 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
6391;Zongshen;1T90DF801; Zongshen KB 9003 E генератор бензиновый;zongshen-kb-9003-e-generator-benzinovyj;kb_9003_e_1.JPG;8,5;8;три;бензиновый;32;есть;"Zongshen
FH 440 E
(440 cc)";Zongshen;100;70 х 53 х 59;2 года;счетчик моточасов + розетка (16A) + силовая розетка (32А) + AVR + электростартер + колеса для транспорт-ки в комплекте;63990;"Электрогенератор ZONGSHEN KB 9003 E – бензиновый трехфазный (3 фазный) генератор с максимальной мощностью 8,5 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN FH440E. Генератор оснащен электрическим запуском. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 11 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 76,5 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов, электростартером и 2-мя розетками (одна из которых - силовая, т.е. на 32А), имеет размер (700х530х590 мм) и вес (100 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
6392;Zongshen;1T90DF100; Zongshen PH 13500 E генератор бензиновый;zongshen-ph-13500-e-generator-benzinovyj;ph_13500_e_1.JPG;10;9;одна;бензиновый;50;есть;"Zongshen
GB 620
(625 cc)";Zongshen;133;72 х 60 х 65;2 года;счетчик моточасов + 2 розетки (16A) + 2 силовые розетки (32А) + AVR + электростартер + колеса для транспорт-ки в комплекте;119990;"Электрогенератор ZONGSHEN 13500 E– бензиновый однофазный (1 фазный) генератор с максимальной мощностью 10 кВА. Силовым агрегатом данной модели является надежный четырехтактный двигатель ZONGSHEN GB620. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 50 литров, что дает достаточно долгую непрерывную работу. Уровень шума при работе генератора составляет всего порядка 70 дБ. Данная модель идеально подходит как для дома, так и для малого бизнеса. Имеет компактный размер (770х600х650 мм) и небольшой вес (133 кг).

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
6393;Zongshen;1T90DF122; Zongshen PB 12000 E генератор бензиновый;zongshen-pb-12000-e-generator-benzinovyj;pb_12000_e_1.JPG;11;10;одна;бензиновый;50;есть;"Zongshen
GB 680
(680 cc)";Zongshen;138;77 х 60 х 79;2 года;счетчик моточасов + 2 розетки (16А) + 2 силовые розетки (32А) + AVR + электростартер + колеса для транспорт-ки в комплекте;139990;
6394;Zongshen;1T90DF123; Zongshen PB 12003 E генератор бензиновый;zongshen-pb-12003-e-generator-benzinovyj;pb_12003_e_1.JPG;11;10;три;бензиновый;50;есть;"Zongshen
GB 680
(680 cc)";Zongshen;138;77 х 60 х 79;2 года;счетчик моточасов + 1 розетка (16А) + силовая розетка (32А) + трехфазная розетка + AVR + электростартер + колеса для транспорт-ки в комплекте;149990;
6395;Zongshen;1T90DF120; Zongshen XB 12000 EA генератор бензиновый;zongshen-xb-12000-ea-generator-benzinovyj;xb_12000_ea_1.JPG;11;10;одна;бензиновый;40;есть;"Zongshen
GB 680
(680 cc)";Zongshen;133;74 х 60 х79;2 года;"счетчик моточасов +
3 розетки (16A) + силовая розетка (32А) + AVR + электростартер + колеса для транспорт-ки в комплекте";139990;"Электрогенератор ZONGSHEN XB 12000 EA – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 10 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN ZS GB 680. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 40 литров, что дает примерно 9 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 81 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов, электростартером и 4-мя розетками (одна из которых - силовая, т.е. на 32А), имеет размер (74х60х79 см) и вес (133 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
6396;Zongshen;1T90DF121; Zongshen XB 12003 EA генератор бензиновый;zongshen-xb-12003-ea-generator-benzinovyj;xb_12003_ea_1.JPG;11;10;три;бензиновый;40;есть;"Zongshen
GB 680
(680 cc)";Zongshen;133;74 х 60 х79;2 года;счетчик моточасов + 2 розетки (16 A) + трехфазная розетка + AVR + электростартер + колеса для транспорт-ки в комплекте;149990;"Электрогенератор ZONGSHEN XB 12003 EA – бензиновый трехфазный (3-х фазный) генератор с максимальной мощностью 10 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN ZS GB 680. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 40 литров, что дает примерно 9 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 81 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов, электростартером и 4-мя розетками (одна из которых - силовая, т.е. на 32А), имеет размер (74х60х79 см) и вес (140 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
6397;Zongshen;1T90DF150; Zongshen PB 15000 E генератор бензиновый;zongshen-pb-15000-e-generator-benzinovyj;pb_15000_e_1.JPG;13;12;одна;бензиновый;50;есть;"Zongshen
GB 750
(750 cc)";Zongshen;145;77 х 60 х 79;2 года;счетчик моточасов + 2 розетки (16А) + 2 силовые розетки (32А) + AVR + электростартер + колеса для транспорт-ки в комплекте;159990;
6398;Zongshen;1T90DF151; Zongshen PB 15003 E генератор бензиновый;zongshen-pb-15003-e-generator-benzinovyj;pb_15003_e_1.JPG;13;12;три;бензиновый;50;есть;"Zongshen
GB 750
(750 cc)";Zongshen;145;77 х 60 х 79;2 года;счетчик моточасов + 1 розетка (16А) + силовая розетка (32А) + трехфазная розетка + AVR + электростартер + колеса для транспорт-ки в комплекте;169990;
6399;Zongshen;1T90DF220; Zongshen PB 22000 E генератор бензиновый;zongshen-pb-22000-e-generator-benzinovyj;pb_22000_e_1.JPG;18;16;одна;бензиновый;50;есть;"Zongshen
GB 1000
(999 cc)";Zongshen;210;94 х 65 х 89;2 года;счетчик моточасов + 2 розетки (16А) + 2 силовые розетки (32А) + AVR + электростартер + колеса для транспорт-ки в комплекте;259990;
6400;Zongshen;1T90DF221; Zongshen PB 22003 E генератор бензиновый;zongshen-pb-22003-e-generator-benzinovyj;pb_22003_e_1.JPG;18;16;три;бензиновый;50;есть;"Zongshen
GB 1000
(999 cc)";Zongshen;217;94 х 65 х 89;2 года;счетчик моточасов + 1 розетка (16А) + силовая розетка (32А) + трехфазная розетка + AVR + электростартер + колеса для транспорт-ки в комплекте;269990;
